[BEGIN] 12/6/2019 4:42:45 PM
[ 4481.129598] (0)-2539	[[HDMI][PWR][WARN]] PWR_STS : FG_HDMI=1, P0/P1/P2/P3(active,fsm,vs_cnt,pol,int) =  P0(0,PS_OFF,0,0,0)/P1(0,PS_OFF,0,0,0)/P2(0,PS_OFF,0,0,0)/P3(1,PS_OFF,195256,1,0)
[ 4481.146758] (0)-2539	part1,6,41,76,106,211,625,584,230,171,104,89,42,19,12,8,2,0,1,2,1,
[ 4481.146785] (0)-2539	part2,26,200,481,292,203,164,165,125,142,75,67,37,22,19,17,14,12,11,13,15,
[ 4481.146811] (0)-2539	part3,6,34,126,143,109,82,94,71,61,52,42,31,38,25,14,8,7,1,3,4,
[ 4481.146836] (0)-2539	part4,0,10,23,15,16,20,9,7,3,5,3,2,1,1,0,0,0,1,0,0,
[ 4481.146862] (0)-2539	part5,9,715,306,593,79,41,65,69,94,56,45,25,23,6,4,1,4,0,0,0,
[ 4482.133613] part1,2,42,64,60,82,523,507,152,118,102,86,70,62,23,23,10,7,7,3,2,
[ 4482.141192] part2,25,140,417,347,238,152,113,79,96,84,64,44,33,18,19,10,8,1,0,2,
[ 4482.148941] part3,7,42,116,89,60,36,44,34,25,19,34,19,13,11,8,6,3,3,1,0,
[ 4482.155982] part4,3,27,101,137,164,173,154,151,98,76,49,35,20,5,10,7,7,5,1,3,
[ 4482.163445] part5,4,841,357,666,32,10,19,12,15,13,5,11,2,3,2,1,0,1,1,1,
[ 4483.166979] part1,1,15,27,25,17,447,527,31,8,7,8,0,0,0,0,0,0,0,0,0,
[ 4483.173619] part2,15,112,317,306,113,45,27,12,5,7,4,4,4,8,6,2,5,1,1,0,
[ 4483.180488] part3,6,42,70,89,58,19,11,7,3,2,1,0,1,0,0,0,0,0,0,0,
[ 4483.186824] part4,1,18,14,1,7,3,6,5,3,4,4,5,5,4,3,3,0,0,1,0,
[ 4483.192819] part5,21,672,438,639,41,4,4,1,4,4,1,2,3,0,4,6,3,1,0,0,
[ 4484.200297] part1,18,322,961,1854,1634,921,682,277,164,90,69,30,13,14,7,4,3,3,1,0,
[ 4484.208235] part2,65,691,2234,2894,2790,1434,741,409,249,98,60,57,31,7,11,5,7,3,2,0,
[ 4484.216326] part3,20,426,1425,2077,2032,1043,548,312,205,103,71,37,33,15,6,1,5,1,3,0,
[ 4484.224502] part4,46,582,1556,2544,2487,1441,818,437,245,175,89,66,34,17,8,6,4,2,1,0,
[ 4484.232670] part5,39,683,1104,1673,1378,751,394,218,139,65,33,24,8,3,4,3,0,1,1,0,
[ 4485.233661] part1,17,193,777,1679,1432,981,679,299,163,76,66,31,20,10,2,7,2,0,2,1,
[ 4485.241607] part2,47,564,2030,3022,2884,1638,848,455,275,225,122,99,36,24,18,8,5,0,3,0,
[ 4485.249965] part3,16,249,1017,1714,1804,873,516,312,171,99,60,43,27,16,8,5,2,1,1,2,
[ 4485.257969] part4,22,345,1021,1686,1667,1047,655,375,288,181,103,66,38,17,12,9,2,8,0,1,
[ 4485.266320] part5,30,605,906,1528,1255,721,445,227,131,80,31,19,12,11,9,3,1,0,0,0,
[ 4486.266991] part1,16,182,610,1016,1058,907,570,249,154,87,49,24,20,10,7,5,5,5,0,1,
[ 4486.274928] part2,40,175,434,446,324,327,271,214,178,109,93,38,39,11,17,7,5,1,0,2,
[ 4486.282840] part3,6,51,114,187,127,140,154,122,92,51,34,17,18,9,3,1,0,0,0,0,
[ 4486.290233] part4,2,41,106,117,198,169,177,158,169,118,77,46,35,19,26,13,4,4,2,4,
[ 4486.298073] part5,2,761,336,594,43,35,30,35,30,33,40,24,24,9,5,5,0,0,1,1,
[ 4487.300360] part1,2,13,28,25,23,461,473,47,21,13,6,9,2,2,0,0,0,1,0,0,
[ 4487.307158] part2,21,117,290,302,140,50,33,18,15,13,6,11,8,6,9,5,3,3,2,7,
[ 4487.314289] part3,10,49,96,91,57,23,29,22,24,13,18,24,30,21,27,11,15,11,7,13,
[ 4487.321784] part4,1,23,7,0,6,1,2,2,0,1,0,0,3,1,0,0,0,0,0,0,
[ 4487.327681] part5,58,687,386,624,98,13,11,4,3,2,1,4,1,1,1,1,3,2,3,2,
[ 4488.333717] part1,6,17,21,35,19,307,374,27,6,6,5,0,0,0,0,0,0,0,0,0,
[ 4488.340333] part2,22,142,345,294,141,61,25,10,13,3,5,7,3,2,0,0,0,0,0,0,
[ 4488.347290] part3,5,38,79,103,56,21,5,7,4,5,1,1,0,0,0,0,0,0,0,0,
[ 4488.353651] part4,1,12,8,6,8,8,4,7,5,2,1,0,1,0,0,0,0,0,0,0,
[ 4488.359558] part5,7,698,488,570,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[ 4489.367015] part1,15,216,807,1828,1659,887,703,276,158,83,48,40,15,16,5,4,3,1,4,3,
[ 4489.374959] part2,67,477,2073,3250,2882,1525,739,353,243,137,108,58,29,14,4,6,5,4,0,1,
[ 4489.383220] part3,33,297,1369,2233,2285,1040,566,327,212,151,107,48,40,18,11,4,5,4,4,0,
[ 4489.391580] part4,25,410,1398,2465,2441,1423,766,409,239,185,111,48,36,21,9,3,5,6,2,2,
[ 4489.399852] part5,20,665,1005,1709,1320,693,415,205,134,63,49,28,14,11,8,3,7,0,0,0,
[ 4490.400392] part1,5,117,603,1213,1147,900,599,197,132,79,57,20,20,5,3,2,1,0,4,2,
[ 4490.408153] part2,36,541,2117,3212,2944,1534,752,419,253,160,99,40,27,20,12,3,5,1,1,0,
[ 4490.416415] part3,27,263,948,1513,1699,938,524,294,230,145,96,57,44,28,27,7,10,3,1,5,
[ 4490.424596] part4,9,86,364,692,914,802,495,236,124,82,49,40,25,14,5,3,0,1,0,1,
[ 4490.432156] part5,15,539,348,659,389,328,271,159,133,65,38,27,10,7,2,4,3,1,0,0,
[ 4490.609480] (3)-2541	[[HDMI][AUDIOF]] Audio STS : FSM=5(CHECK), hbr=0/0, sample_cnt= 166375, hbr_sample_cnt=0, fifo_ov=0, type=2(LPCM), ch_mode=0, ch_num=2, acr_freq=48000, wait_acr_cnt=1
[ 4491.359602] (1)-2539	[[HDMI][PWR][WARN]] PWR_STS : FG_HDMI=1, P0/P1/P2/P3(active,fsm,vs_cnt,pol,int) =  P0(0,PS_OFF,0,0,0)/P1(0,PS_OFF,0,0,0)/P2(0,PS_OFF,0,0,0)/P3(1,PS_OFF,195836,1,0)
[ 4491.433719] part1,13,103,255,402,658,937,687,370,271,165,116,55,21,21,15,9,3,0,1,1,
[ 4491.441742] part2,32,151,455,415,345,298,206,170,111,49,55,36,19,5,4,0,1,0,1,1,
[ 4491.449402] part3,12,35,115,128,85,64,46,32,39,25,25,11,11,3,4,2,0,0,1,0,
[ 4491.456525] part4,12,87,331,555,490,269,205,104,103,73,48,37,19,21,18,14,4,1,4,6,
[ 4491.464347] part5,3,815,347,560,30,13,12,17,13,13,20,12,10,6,6,4,3,1,0,0,
[ 4492.467078] part1,0,36,65,36,38,480,503,49,26,22,16,2,10,6,2,0,0,0,0,0,
[ 4492.474065] part2,26,118,346,277,146,44,26,14,12,2,3,2,0,0,0,0,0,1,0,0,
[ 4492.481018] part3,19,203,792,1173,1270,900,619,324,210,141,98,54,32,33,16,8,5,3,6,8,
[ 4492.489105] part4,10,140,320,479,465,326,199,111,83,52,38,23,13,11,4,2,2,1,0,0,
[ 4492.496767] part5,72,533,526,860,359,261,252,174,192,195,176,121,112,46,29,20,11,4,2,3,
[ 4493.500412] part1,3,59,56,30,37,335,215,57,22,25,6,1,3,0,0,0,1,0,0,0,
[ 4493.507221] part2,19,139,366,279,143,40,18,10,8,8,5,1,1,4,0,0,0,0,0,0,
[ 4493.514082] part3,3,60,83,104,61,26,16,10,9,9,6,11,6,4,2,0,1,1,0,1,
[ 4493.520688] part4,0,17,38,12,33,21,11,6,11,4,5,8,8,3,2,0,2,0,1,0,
[ 4493.527122] part5,15,545,633,276,114,15,16,13,15,15,16,4,15,3,4,4,8,6,3,5,
[ 4494.533758] part1,13,205,861,1752,1427,945,678,264,156,79,61,35,32,7,5,5,3,2,0,1,
[ 4494.541614] part2,49,589,2021,3070,2701,1560,983,450,287,152,105,76,27,18,9,6,3,5,2,4,
[ 4494.549874] part3,32,343,1274,2078,1903,1075,594,311,194,105,61,40,27,10,6,3,2,0,1,0,
[ 4494.558041] part4,43,477,1439,2404,2271,1426,856,473,296,172,114,77,55,21,15,9,3,1,2,1,
[ 4494.566393] part5,30,632,1066,1512,1269,753,423,207,126,67,50,25,15,9,6,3,2,2,0,0,
[ 4495.567101] part1,8,97,171,262,487,898,883,452,300,176,110,70,48,28,22,11,3,6,1,1,
[ 4495.575035] part2,22,177,429,405,335,311,259,203,211,124,89,63,47,21,20,12,5,4,2,5,
[ 4495.583031] part3,5,62,109,148,115,93,87,94,63,55,31,28,18,9,4,1,0,0,1,2,
[ 4495.590163] part4,0,7,6,13,18,21,9,7,10,7,5,1,0,0,0,2,2,2,0,1,
[ 4495.596334] part5,7,651,430,556,87,80,99,86,104,58,86,65,52,18,11,10,13,4,1,0,
[ 4496.600449] part1,4,31,32,30,29,414,438,87,60,30,33,24,18,12,7,13,5,4,4,3,
[ 4496.607686] part2,27,154,368,285,143,76,83,68,60,43,65,29,22,18,19,7,17,4,6,15,
[ 4496.615337] part3,6,39,105,97,68,46,21,18,13,16,6,1,4,1,6,3,5,2,1,0,
[ 4496.622035] part4,0,27,30,15,39,33,26,40,29,25,28,12,7,5,8,0,2,1,2,0,
