[BEGIN] 12/6/2019 3:34:15 PM
[  390.869634] (0)-2539	[[HDMI][PWR][WARN]] PWR_STS : FG_HDMI=1, P0/P1/P2/P3(active,fsm,vs_cnt,pol,int) =  P0(0,PS_OFF,0,0,0)/P1(0,PS_OFF,0,0,0)/P2(0,PS_OFF,0,0,0)/P3(1,PS_OFF,21056,1,0)
[  390.939157] part1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[  390.945001] part2,6,19,82,41,13,8,2,3,2,2,1,0,0,0,0,0,0,0,0,0,
[  390.951165] part3,26,204,551,336,153,43,13,7,5,2,1,0,0,0,0,0,0,0,0,0,
[  390.957945] part4,7,18,139,206,152,21,15,3,0,0,0,0,0,0,0,0,0,0,0,0,
[  390.964561] part5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[  391.972463] part1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[  391.978309] part2,55,632,1428,618,268,89,47,11,9,6,0,0,1,0,0,0,0,0,0,0,
[  391.985256] part3,126,829,1904,1094,617,144,47,12,7,2,2,2,0,0,0,0,0,0,0,0,
[  391.992480] part4,13,141,737,462,110,34,18,10,8,4,2,0,0,0,0,0,0,0,0,0,
[  391.999350] part5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[  393.005799] part1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[  393.011641] part2,54,774,1902,755,324,92,40,18,7,4,1,0,0,0,0,0,0,0,0,0,
[  393.018588] part3,83,708,1823,962,572,148,49,12,12,0,1,1,2,0,0,0,0,0,0,0,
[  393.025736] part4,49,255,649,440,158,40,22,8,6,1,1,0,0,0,0,0,0,0,0,0,
[  393.032519] part5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[  394.039156] part1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
