[BEGIN] 12/6/2019 3:55:47 PM
[ 1664.637045] $$$   hi_02_PhTable_AutoGen   $$$
[ 1664.819633] (3)-0000	part1,59,271,385,202,82,43,13,15,3,1,2,1,0,1,0,0,0,0,0,0,
[ 1664.827418] part2,1074,3120,2336,1242,681,303,143,52,26,16,4,4,1,0,0,0,0,0,0,0,
[ 1664.835073] part3,1868,4682,3038,1528,907,458,266,114,70,25,14,6,1,0,0,0,0,0,0,0,
[ 1664.842892] part4,1524,4741,3500,1964,1182,616,370,223,184,92,66,42,26,28,14,5,4,2,0,0,
[ 1664.851236] part5,1551,6547,4471,1976,798,234,92,23,15,3,3,2,3,0,0,0,0,0,0,0,
[ 1665.852943] part1,70,285,382,229,88,29,14,11,7,6,1,0,0,0,1,0,0,0,0,0,
[ 1665.859754] part2,1245,3162,2359,1304,689,327,129,66,34,10,0,2,2,3,0,0,0,0,0,0,
[ 1665.867398] part3,2000,4885,3066,1669,809,458,265,111,55,18,11,4,2,0,0,0,0,0,0,0,
[ 1665.875223] part4,1767,5120,3593,2130,1263,645,374,229,155,75,63,36,32,21,14,4,6,4,1,0,
[ 1665.883584] part5,2225,8889,5803,2405,936,323,127,29,12,11,3,2,2,0,0,0,0,0,0,0,
[ 1666.886278] part1,[ 1666.887096] (0)-0000	$$$   hi_02_PhTable_AutoGen   $$$
[ 1666.887096] 
(3)-0000	5,110,401,401,360,169,104,64,51,20,11,2,0,0,0,0,0,0,0,0,
[ 1666.901052] part2,43,539,894,929,733,479,357,234,176,71,48,20,20,6,0,0,0,0,0,0,
[ 1666.908717] part3,104,814,931,632,482,244,150,86,75,25,17,11,4,2,0,0,0,0,0,0,
[ 1666.916194] part4,117,237,179,89,73,36,32,12,29,16,13,1,5,1,0,0,0,0,0,0,
[ 1666.923230] part5,60,406,498,343,109,56,25,23,17,11,12,6,6,1,0,0,0,0,0,0,
[ 1667.919695] part1,3,80,325,397,368,195,122,60,48,22,11,1,2,0,1,0,0,0,0,0,
[ 1667.926843] part2,32,437,847,846,636,462,356,236,185,91,71,24,18,8,3,2,0,0,0,0,
[ 1667.934496] part3,92,759,867,645,494,267,153,108,59,26,25,10,5,3,1,0,0,0,0,0,
[ 1667.941991] part4,77,204,210,79,68,49,30,20,21,19,10,4,3,0,0,0,0,0,0,0,
[ 1667.948945] part5,58,346,574,338,116,45,42,27,31,9,10,2,3,0,1,0,0,0,0,0,
[ 1668.952981] part1,358,3770,4254,1882,997,453,226,108,50,20,13,10,8,1,1,0,0,0,0,0,
[ 1668.960828] part2,980,6553,3683,1607,891,446,235,83,63,23,16,7,3,1,1,1,0,0,0,0,
[ 1668.968479] part3,1224,5321,2128,1087,749,344,154,58,41,13,3,2,0,1,0,1,0,0,0,0,
[ 1668.976139] part4,158,1382,1507,922,677,334,164,79,70,38,15,0,1,1,0,0,0,0,0,0,
[ 1668.983711] part5,815,2333,1827,975,458,265,166,83,73,49,26,8,5,3,0,0,0,0,0,0,
[ 1669.949505] (0)-2541	[[HDMI][AUDIOF]] Audio STS : FSM=5(CHECK), hbr=0/0, sample_cnt= 29450, hbr_sample_cnt=0, fifo_ov=0, type=2(LPCM), ch_mode=0, ch_num=2, acr_freq=48000, wait_acr_cnt=1
[ 1669.986366] part1,382,4073,4140,1739,842,427,213,93,51,30,10,7,0,2,2,1,0,0,0,0,
[ 1669.994028] part2,1223,6811,3491,1683,970,409,223,97,74,33,12,8,3,5,0,0,0,0,0,0,
[ 1670.001769] part3,1353,5129,2082,1050,737,265,163,44,38,11,11,1,1,0,2,0,0,0,0,0,
[ 1670.009511] part4,240,1557,1424,853,604,330,164,77,86,31,14,1,0,0,0,0,0,0,0,0,
[ 1670.017071] part5,912,2658,1821,953,530,242,159,90,85,35,22,10,9,4,1,0,0,0,0,0,
[ 1671.019662] part1,260,961,851,493,346,216,129,71,41,19,26,16,23,10,15,8,2,0,0,0,
[ 1671.027418] part2,274,721,608,446,223,161,87,51,26,14,20,9,10,4,3,1,0,0,0,0,
[ 1671.034812] part3,312,1765,1289,932,492,272,168,86,61,36,11,10,18,7,8,5,5,1,0,0,
[ 1671.042549] part4,836,1630,1241,841,518,229,136,81,47,34,19,13,9,3,5,0,0,0,0,0,
[ 1671.050192] part5,736,3557,3121,1986,1152,639,344,164,95,54,38,22,14,12,7,2,3,2,1,0,
[ 1671.629653] (1)-2539	[[HDMI][PWR][WARN]] PWR_STS : FG_HDMI=1, P0/P1/P2/P3(active,fsm,vs_cnt,pol,int) =  P0(0,PS_OFF,0,0,0)/P1(0,PS_OFF,0,0,0)/P2(0,PS_OFF,0,0,0)/P3(1,PS_OFF,34904,1,0)
[ 1672.053035] part1,231,936,821,510,373,227,145,74,50,30,28,27,18,7,17,2,0,0,0,0,
[ 1672.060700] part2,246,710,543,419,285,154,104,54,39,13,22,7,8,5,2,1,0,0,0,0,
[ 1672.068102] part3,295,1711,1176,827,500,254,171,98,82,38,24,9,9,7,9,2,2,0,1,0,
[ 1672.075663] part4,818,1363,1186,749,425,278,157,91,62,32,26,13,7,13,9,2,1,0,0,0,
[ 1672.083402] part5,661,3169,3005,1953,1166,664,350,209,106,57,37,14,9,7,4,2,2,0,1,0,
[ 1673.086355] part1,289,1493,1549,1344,1132,789,528,336,221,124,102,47,33,16,11,3,1,5,1,0,
[ 1673.094831] part2,727,4505,3542,2020,1443,888,653,380,286,160,111,50,48,32,13,10,4,1,1,0,
[ 1673.103362] part3,881,3920,3922,2419,1867,1347,923,500,332,239,166,71,66,26,32,16,11,7,2,1,
[ 1673.112069] part4,382,2225,3107,3057,2070,1356,1031,677,521,280,199,93,49,21,23,10,13,3,2,0,
[ 1673.120854] part5,173,1678,2811,2141,1458,913,745,605,528,285,213,112,89,42,26,10,13,2,6,5,
[ 1674.119724] part1,163,612,558,304,150,60,22,12,2,3,0,0,0,0,0,0,0,0,0,0,
[ 1674.126702] part2,3412,7475,4524,2469,1132,533,261,88,52,21,11,1,0,0,0,0,1,0,0,0,
[ 1674.134524] part3,5651,12539,7979,4051,2164,1149,639,281,213,84,33,20,14,3,2,1,0,0,0,0,
[ 1674.142874] part4,2417,8843,8321,5355,3367,1973,1212,650,395,181,101,42,26,8,5,0,0,0,0,0,
[ 1674.151401] part5,1237,6026,6540,4324,3088,1790,1095,523,344,167,101,56,25,7,6,2,3,1,0,4,
[ 1675.153041] part1,151,567,526,287,141,57,18,7,2,1,0,0,0,0,0,0,0,0,0,0,
[ 1675.159936] part2,3384,7721,4538,2395,1103,441,196,91,35,6,1,3,0,0,0,0,0,0,0,0,
[ 1675.167583] part3,5530,12398,7942,4095,2138,1084,691,307,161,97,44,15,13,7,2,0,1,0,0,0,
[ 1675.175936] part4,2403,8624,8203,5220,3182,1922,1174,640,400,211,98,52,16,6,4,2,0,0,0,0,
[ 1675.184381] part5,1165,5488,6163,4126,2773,1641,1052,574,369,178,78,38,38,5,2,3,4,3,0,0,
[ 1676.186384] part1,3360,7463,4367,2389,1639,832,521,308,211,99,71,23,15,9,5,0,2,0,0,1,
[ 1676.194585] part2,2544,3802,1871,1003,529,337,219,119,88,78,33,23,5,6,1,0,0,0,0,0,
[ 1676.202492] part3,2449,5566,2571,1348,856,373,200,100,74,27,27,17,3,6,0,0,0,0,0,0,
[ 1676.210401] part4,787,1774,1161,650,418,251,159,96,69,41,20,7,9,0,1,0,1,0,0,0,
[ 1676.217975] part5,1346,3555,2752,1672,975,592,320,178,125,81,52,23,6,19,5,2,0,0,1,0,
[ 1677.219737] part1,2407,5977,3650,2032,1399,798,451,242,188,112,66,29,17,12,3,1,0,0,0,0,
[ 1677.228112] part2,1929,3574,1985,986,581,323,202,111,93,59,32,10,11,0,1,0,0,0,0,0,
[ 1677.236025] part3,1914,5032,2762,1476,888,424,234,114,85,55,34,17,8,0,0,0,0,0,0,0,
[ 1677.243947] part4,575,1347,1112,594,397,258,168,111,49,30,23,6,4,0,0,1,0,0,0,0,
[ 1677.251595] part5,1238,3746,2944,1980,1080,610,392,219,162,81,49,29,17,12,8,2,2,3,0,0,
[ 1678.253068] part1,2988,5752,3128,1747,1175,714,401,221,167,103,70,37,22,10,3,0,0,0,0,0,
[ 1678.261430] part2,2588,4109,2074,898,518,271,178,103,64,27,24,12,1,0,0,0,0,0,0,0,
[ 1678.269262] part3,2004,4864,2684,1322,849,416,250,138,78,40,34,11,7,1,1,1,0,0,0,0,
[ 1678.277181] part4,650,1382,1183,682,465,284,178,86,79,31,17,8,2,5,1,1,0,0,0,0,
[ 1678.284746] part5,1512,3921,3012,1806,1043,567,370,224,144,91,41,32,18,16,6,2,1,1,0,1,
[ 1679.286423] part1,59,1198,2658,1415,921,478,319,165,151,91,52,43,30,11,12,4,3,0,0,0,
